Model,Train_R2,Val_R2,Test_R2
OLS,0.8404413490038511,0.538831596476266,-0.08272438899824452
Ridge,0.8360802966277666,0.7651402211950891,-0.43518163968034695
Lasso,0.8404413454203473,0.5391557809895657,-0.08288611748500685
Random Forest,0.8980481129580016,-2.2362416479785114,-13.910572223140091
XGBoost,0.9978657067637884,-1.8872167224161651,-15.63664708303747
Gradient Boosting,0.9991255407715548,-1.0472130483368853,-11.758917266419523
