Model,Train_R2,Val_R2,Test_R2
OLS,0.5699262276634759,-6.002974680578807,-15.60833226647696
Ridge,0.5699106564805383,-5.99958715487503,-15.777256921369158
Lasso,0.5699262273401025,-6.002935373532471,-15.609141243836184
Random Forest,0.858879525452592,-2.420117108287871,-15.045674195521773
XGBoost,0.9974805694421972,-5.171186524066999,-26.272096065898673
Gradient Boosting,0.9991036919633988,-3.124215726635984,-20.717568684982187
